@RELATION random_forest_new_dataset
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {crow,Dove,macaw,Parakeet,Parrot,Pigeon,sparrow}

@DATA
0.191489,0.051663,3.164214,0.285301,0.260019,1.604671,0.004087,0.245625,-22.924506,0.589132,-0.221940,1.762671,-0.906061,0.610859,-0.202737,0.188708,-0.070927,-0.192110,0.259931,0.192866,-0.116644,0.002524,0.004907,0.028203,0.005797,0.007350,0.004555,0.045338,0.002074,0.003030,0.008323,0.032754,0.003209,0.018852,0.022154,0.024680,0.106823,0.016770,0.007104,0.193600,0.001776,0.017178,0.580541,0.590164,0.161727,0.208325,0.048241,0.083770,0.091162,0.170386,0.090109,0.122977,0.184408,0.210473,0.161282,0.000745,0.004154,0.005991,0.001904,0.005305,0.003151,0.037660,0.002723,0.002575,0.005702,0.016401,0.001902,0.009972,crow
0.270181,0.048114,3.208837,0.373813,0.283545,1.874537,0.003324,0.517500,-23.343013,-0.413367,-0.206200,1.689769,-0.696811,0.546605,-0.195524,0.229014,0.142866,-0.130379,0.363817,0.057445,0.028927,0.006231,0.003072,0.013356,0.004520,0.004942,0.001850,0.020216,0.000698,0.001207,0.003008,0.008710,0.014162,0.007390,0.021056,0.021704,0.055530,0.019407,0.011830,0.267513,0.001587,0.185256,0.438327,0.553239,0.108608,0.231092,0.218165,0.099677,0.142224,0.154297,0.084779,0.148820,0.210629,0.146497,0.145544,0.002964,0.001832,0.007944,0.002358,0.002413,0.001571,0.016816,0.000429,0.000956,0.002084,0.007606,0.005629,0.004354,crow
0.068828,0.025458,3.068267,0.126907,0.148802,0.454122,0.009639,0.094838,-26.300438,-0.369704,-0.248054,1.101563,-0.415643,0.692839,-0.220420,0.271807,0.076744,-0.111175,0.123384,0.024147,0.024607,0.004769,0.006911,0.020497,0.002546,0.035231,0.002108,0.063724,0.000692,0.001043,0.001805,0.005036,0.004550,0.024290,0.010226,0.010549,0.116575,0.011171,0.021050,0.091680,0.005549,0.019502,0.820837,0.537552,0.290583,0.261154,0.165404,0.178690,0.160270,0.151606,0.141688,0.124657,0.105553,0.100858,0.110392,0.003142,0.004694,0.015012,0.001332,0.021968,0.001318,0.044771,0.000485,0.000765,0.001033,0.003048,0.003754,0.010458,crow
0.282228,0.055777,3.197419,0.371772,0.277721,1.918560,0.002953,0.479792,-22.900542,-0.248073,0.007599,1.701837,-0.815745,0.740353,-0.224568,0.491669,0.108209,-0.288564,0.098660,0.058869,-0.000218,0.003066,0.007959,0.011756,0.004114,0.006459,0.001935,0.015869,0.000432,0.001313,0.003252,0.010633,0.003633,0.006136,0.006979,0.013821,0.060910,0.008107,0.004507,0.098064,0.000774,0.032250,0.184286,0.185118,0.169230,0.113841,0.080773,0.101687,0.091153,0.089509,0.090122,0.138549,0.078558,0.059123,0.118924,0.001490,0.002640,0.005933,0.001094,0.002141,0.001395,0.009401,0.000187,0.000185,0.000735,0.002788,0.001798,0.002353,crow
0.298602,0.056067,3.215432,0.398734,0.282244,1.909444,0.002997,0.591354,-23.342477,-0.625906,0.427529,1.595479,-0.775747,0.583159,-0.189458,0.297480,0.000539,-0.269130,0.431564,0.002560,-0.133711,0.005008,0.003834,0.013461,0.004742,0.002610,0.001742,0.014250,0.000316,0.001292,0.002516,0.005289,0.003092,0.005449,0.016393,0.025670,0.097711,0.019220,0.006152,0.241110,0.001202,0.164448,0.286993,0.450548,0.330545,0.148439,0.163509,0.170954,0.203903,0.190777,0.172223,0.197394,0.159206,0.076175,0.155579,0.002515,0.002345,0.010287,0.003421,0.001185,0.001178,0.011252,0.000039,0.001112,0.001237,0.002543,0.001935,0.003036,crow
0.257614,0.062860,3.184137,0.359346,0.273469,1.667291,0.003182,0.277813,-22.766975,-0.263387,0.220663,1.526751,-0.942479,0.839480,-0.244358,0.226907,0.088768,-0.137712,0.178786,0.203918,0.122879,0.006588,0.014924,0.012022,0.005757,0.002328,0.000725,0.010961,0.000985,0.001867,0.004203,0.010993,0.004943,0.006978,0.016951,0.010833,0.054838,0.010176,0.006469,0.123624,0.001620,0.004062,0.144879,0.308562,0.084324,0.075068,0.113882,0.153375,0.114091,0.137374,0.085551,0.199364,0.188570,0.198195,0.141422,0.005654,0.007067,0.007547,0.003732,0.000585,0.000310,0.008621,0.000502,0.001262,0.002495,0.009444,0.002718,0.002693,crow
0.270181,0.064675,3.146995,0.313307,0.164388,1.660536,0.004549,0.370937,-24.703826,-3.804076,-0.534391,0.176919,-0.183833,0.241752,0.235527,-0.404411,0.014134,-0.021269,0.183287,0.048002,-0.450153,0.002131,0.001740,0.001122,0.001172,0.002125,0.002229,0.006963,0.003404,0.003988,0.005005,0.003065,0.009576,0.003863,0.011414,0.015137,0.176488,0.006383,0.001558,0.059520,0.001331,0.003789,0.187364,0.435594,0.066787,0.095143,0.086489,0.077618,0.110921,0.085738,0.076340,0.063897,0.081562,0.128876,0.170009,0.000473,0.000665,0.000674,0.000453,0.000988,0.001152,0.000633,0.000846,0.000615,0.001450,0.001595,0.009128,0.002188,crow
0.194305,0.054994,3.158073,0.307376,0.266128,1.641033,0.004836,0.247187,-23.037000,0.609164,-0.078077,1.505777,-0.876023,0.682917,-0.048147,0.217882,-0.054148,-0.160487,0.157324,0.130491,-0.030833,0.002790,0.003002,0.032956,0.003380,0.007571,0.005320,0.043379,0.000838,0.004015,0.008964,0.034644,0.006664,0.019231,0.057502,0.030713,0.107738,0.046637,0.010420,0.378986,0.002348,0.065002,0.893239,0.852071,0.185831,0.228194,0.335120,0.134434,0.113820,0.130275,0.242496,0.093919,0.155067,0.108233,0.196028,0.001542,0.002127,0.028488,0.001415,0.004209,0.003338,0.043896,0.000570,0.002264,0.008480,0.024852,0.004728,0.014967,crow
0.225282,0.069478,3.209540,0.292982,0.175537,1.635037,0.003204,0.341667,-25.056606,-4.447663,-1.445047,0.876223,0.136461,0.293470,0.219660,-0.687626,0.141086,0.266348,-0.039594,-0.294129,-0.069049,0.004302,0.000271,0.001012,0.003349,0.004314,0.003482,0.005580,0.002300,0.001101,0.013396,0.001108,0.003038,0.004548,0.014197,0.016950,0.057125,0.005885,0.000851,0.152000,0.002266,0.050840,0.306796,0.313998,0.310790,0.222237,0.165566,0.085086,0.014598,0.140727,0.206088,0.131428,0.208477,0.166717,0.319717,0.001097,0.000025,0.000262,0.002433,0.001807,0.003603,0.003846,0.001658,0.000796,0.012077,0.000282,0.000964,0.002286,crow
0.231852,0.071872,3.184388,0.285286,0.174082,1.647049,0.003589,0.328125,-24.147871,-3.678257,-1.589362,0.464294,0.020280,0.193650,0.217243,-0.570686,0.133973,0.126624,0.035611,-0.130787,-0.201406,0.001631,0.000660,0.000761,0.003743,0.006228,0.001009,0.002765,0.001458,0.002045,0.019318,0.007641,0.008092,0.006583,0.010780,0.015261,0.066487,0.010488,0.006147,0.124056,0.002308,0.045668,0.814154,1.071545,0.948586,0.488186,0.218064,0.184333,0.132936,0.071976,0.145797,0.016081,0.084611,0.219960,0.315614,0.000948,0.000353,0.000634,0.002634,0.004873,0.000722,0.002430,0.000695,0.001291,0.012339,0.003832,0.006812,0.001865,crow
