@RELATION scripts/svm
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {crow,sparrow,cuckoo}

@DATA
0.191489,0.051663,3.164214,0.285301,0.260019,1.604671,0.004087,0.245625,-22.924506,0.589132,-0.221940,1.762671,-0.906061,0.610859,-0.202737,0.188708,-0.070927,-0.192110,0.259931,0.192866,-0.116644,0.002524,0.004907,0.028203,0.005797,0.007350,0.004555,0.045338,0.002074,0.003030,0.008323,0.032754,0.003209,0.018852,0.022154,0.024680,0.106823,0.016770,0.007104,0.193600,0.001776,0.017178,0.580541,0.590164,0.161727,0.208325,0.048241,0.083770,0.091162,0.170386,0.090109,0.122977,0.184408,0.210473,0.161282,0.000745,0.004154,0.005991,0.001904,0.005305,0.003151,0.037660,0.002723,0.002575,0.005702,0.016401,0.001902,0.009972,crow
0.270181,0.048114,3.208837,0.373813,0.283545,1.874537,0.003324,0.517500,-23.343013,-0.413367,-0.206200,1.689769,-0.696811,0.546605,-0.195524,0.229014,0.142866,-0.130379,0.363817,0.057445,0.028927,0.006231,0.003072,0.013356,0.004520,0.004942,0.001850,0.020216,0.000698,0.001207,0.003008,0.008710,0.014162,0.007390,0.021056,0.021704,0.055530,0.019407,0.011830,0.267513,0.001587,0.185256,0.438327,0.553239,0.108608,0.231092,0.218165,0.099677,0.142224,0.154297,0.084779,0.148820,0.210629,0.146497,0.145544,0.002964,0.001832,0.007944,0.002358,0.002413,0.001571,0.016816,0.000429,0.000956,0.002084,0.007606,0.005629,0.004354,crow
0.282228,0.055777,3.197419,0.371772,0.277721,1.918560,0.002953,0.479792,-22.900542,-0.248073,0.007599,1.701837,-0.815745,0.740353,-0.224568,0.491669,0.108209,-0.288564,0.098660,0.058869,-0.000218,0.003066,0.007959,0.011756,0.004114,0.006459,0.001935,0.015869,0.000432,0.001313,0.003252,0.010633,0.003633,0.006136,0.006979,0.013821,0.060910,0.008107,0.004507,0.098064,0.000774,0.032250,0.184286,0.185118,0.169230,0.113841,0.080773,0.101687,0.091153,0.089509,0.090122,0.138549,0.078558,0.059123,0.118924,0.001490,0.002640,0.005933,0.001094,0.002141,0.001395,0.009401,0.000187,0.000185,0.000735,0.002788,0.001798,0.002353,crow
0.298602,0.056067,3.215432,0.398734,0.282244,1.909444,0.002997,0.591354,-23.342477,-0.625906,0.427529,1.595479,-0.775747,0.583159,-0.189458,0.297480,0.000539,-0.269130,0.431564,0.002560,-0.133711,0.005008,0.003834,0.013461,0.004742,0.002610,0.001742,0.014250,0.000316,0.001292,0.002516,0.005289,0.003092,0.005449,0.016393,0.025670,0.097711,0.019220,0.006152,0.241110,0.001202,0.164448,0.286993,0.450548,0.330545,0.148439,0.163509,0.170954,0.203903,0.190777,0.172223,0.197394,0.159206,0.076175,0.155579,0.002515,0.002345,0.010287,0.003421,0.001185,0.001178,0.011252,0.000039,0.001112,0.001237,0.002543,0.001935,0.003036,crow
0.257614,0.062860,3.184137,0.359346,0.273469,1.667291,0.003182,0.277813,-22.766975,-0.263387,0.220663,1.526751,-0.942479,0.839480,-0.244358,0.226907,0.088768,-0.137712,0.178786,0.203918,0.122879,0.006588,0.014924,0.012022,0.005757,0.002328,0.000725,0.010961,0.000985,0.001867,0.004203,0.010993,0.004943,0.006978,0.016951,0.010833,0.054838,0.010176,0.006469,0.123624,0.001620,0.004062,0.144879,0.308562,0.084324,0.075068,0.113882,0.153375,0.114091,0.137374,0.085551,0.199364,0.188570,0.198195,0.141422,0.005654,0.007067,0.007547,0.003732,0.000585,0.000310,0.008621,0.000502,0.001262,0.002495,0.009444,0.002718,0.002693,crow
0.270181,0.064675,3.146995,0.313307,0.164388,1.660536,0.004549,0.370937,-24.703826,-3.804076,-0.534391,0.176919,-0.183833,0.241752,0.235527,-0.404411,0.014134,-0.021269,0.183287,0.048002,-0.450153,0.002131,0.001740,0.001122,0.001172,0.002125,0.002229,0.006963,0.003404,0.003988,0.005005,0.003065,0.009576,0.003863,0.011414,0.015137,0.176488,0.006383,0.001558,0.059520,0.001331,0.003789,0.187364,0.435594,0.066787,0.095143,0.086489,0.077618,0.110921,0.085738,0.076340,0.063897,0.081562,0.128876,0.170009,0.000473,0.000665,0.000674,0.000453,0.000988,0.001152,0.000633,0.000846,0.000615,0.001450,0.001595,0.009128,0.002188,crow
0.302461,0.082427,3.252905,0.384175,0.213446,2.009568,0.003000,0.419167,-24.971365,-4.063436,-0.543600,0.216230,-0.070666,0.238007,0.018451,-0.348644,0.425168,-0.263842,0.170144,-0.278409,0.060064,0.001178,0.006897,0.003717,0.000373,0.001053,0.001247,0.000809,0.001420,0.002203,0.002281,0.006221,0.002485,0.002595,0.019929,0.016884,0.053425,0.011466,0.004949,0.129204,0.002140,0.005137,0.479914,0.431035,0.627700,0.111058,0.293601,0.019345,0.372798,0.018401,0.203691,0.029085,0.173300,0.140098,0.148187,0.000593,0.004559,0.001593,0.000128,0.000602,0.000714,0.000487,0.000899,0.001752,0.002173,0.002357,0.000751,0.000780,crow
0.297872,0.087942,3.283562,0.384044,0.221633,2.112384,0.003738,0.424167,-24.323060,-3.266471,-0.549447,0.254080,0.134373,0.251060,-0.168159,-0.436631,0.455894,-0.039039,0.325166,-0.725270,0.075027,0.000802,0.007760,0.003658,0.000290,0.001188,0.002453,0.000245,0.002606,0.002184,0.002624,0.008559,0.002520,0.004051,0.009855,0.006364,0.023109,0.005946,0.003238,0.125038,0.002755,0.011961,0.167376,0.085263,0.166042,0.149161,0.052720,0.123931,0.294140,0.114712,0.124445,0.154050,0.145081,0.044025,0.225022,0.000631,0.008232,0.003329,0.000139,0.001227,0.001580,0.000047,0.002899,0.002929,0.002795,0.004666,0.001483,0.000795,crow
0.234460,0.097306,3.235563,0.295027,0.173578,1.520549,0.004296,0.316667,-24.121745,-3.813884,-1.362123,0.563069,-0.015325,0.450117,-0.287180,-0.127716,0.492473,-0.071126,0.259524,-0.419717,-0.093561,0.005343,0.011108,0.003519,0.001928,0.004320,0.005043,0.000807,0.001890,0.000622,0.006838,0.008804,0.007078,0.005207,0.011022,0.021793,0.011850,0.010529,0.006579,0.161426,0.003134,0.040121,1.005381,1.130315,1.192714,0.231124,0.059810,0.234154,0.283910,0.110502,0.104370,0.253798,0.189752,0.128247,0.169059,0.004006,0.006798,0.002536,0.001166,0.001728,0.002555,0.000270,0.000675,0.000343,0.004642,0.007699,0.007273,0.000366,crow
0.266166,0.104277,3.233450,0.314059,0.154180,1.602330,0.003462,0.378333,-24.342883,-4.075816,-0.627370,0.144390,-0.154945,0.075220,-0.040890,-0.435046,0.286632,-0.199984,0.294517,0.218040,-0.578740,0.007245,0.002672,0.001476,0.000723,0.000519,0.001892,0.001643,0.001972,0.002126,0.003080,0.009482,0.003735,0.003714,0.013337,0.002461,0.028438,0.009389,0.005693,0.129867,0.002885,0.012964,1.100122,0.830310,0.773600,0.520024,0.208866,0.099909,0.011418,0.251769,0.074694,0.095240,0.178287,0.381770,0.181456,0.006239,0.001427,0.000709,0.000468,0.000525,0.001866,0.000965,0.001149,0.000430,0.002027,0.006090,0.002399,0.000734,crow
